Benennung;FERIX-Bezeichnung;Code;NL260;NL520;NL780;NL1040;NL1300;NL1560;ohne Licht;einfaches Licht;doppeltes Licht;2x diff. + 1x coax;coax
U-Profil;MG_VTCIS_GEH_NLXXX_SX_3.0;;8535;8534;8533;8501;8666;8667;1;1;1;1;1
LED-Halter diff;MG_VTCIS_LEDHA_NLXXX_SX_3.0;;8511;8510;8509;8499;8668;8669;0;1;2;0;0
Kupferrohr;MG_LND_KURO_NLXXX_U_1.0;;7992;7991;7990;7503;8684;8685;0;1;2;2;0
LiLei diff;MG_LND_LILEI_NLXXX_U_1.0;;7995;7994;7993;7463;8686;8687;0;1;2;2;0
Halter LiLei;MG_VTCIS_HALILEI_NLXXX_SX_1.0;;7999;7998;7997;8047;8670;8671;0;1;2;2;0
Linsenhalter;MG_VTCIS_LIHA_NLXXX_SX_3.0;;8528;8527;8526;8505;8672;8673;1;1;1;1;1
Linsenjustage;MG_VTCIS_LIJU_NLXXX_SX_3.0;;8522;8521;8520;8504;8674;8675;1;1;1;1;1
Staubschutz;MG_VTCIS_STASCHU_NLXXX_SX_3.0;;8519;8518;8517;8503;8676;8677;1;1;1;1;1
Sensorhalter;MG_VTCIS_SEHA_NLXXX_SX_3.0;;8532;8531;8530;8500;8678;8679;1;1;1;1;1
Deckel;MG_VTCIS_DECK_NLXXX_SX_3.0;;8539;8538;8537;8502;8680;8681;1;1;1;0;0
Spiegelträger;MG_VSCIS_SPITRÄ_NLXXX_SX_3.0;;8565;8564;8563;8562;;;0;0;0;1;1
LED-Halter diff bei coax-Ausbau;MG_VTCIS_LEDHAC_NLXXX_SX_3.0;;8556;8555;8554;8553;;;0;0;0;2;0
Lichtschott coax;MG_VSCIS_LISCHOC_NLXXX_SX_1.0;;7883;7882;7881;7856;;;0;0;0;1;1
Verschlußplatte Linsenhalter;MG_VTCIS_VSPLIHA_STD_SX_3.0;;8507;8507;8507;8507;8507;8507;2;2;2;2;2
Verschlußplatte ;MG_VTCIS_VSP_STD_SX_3.0;;8508;8508;8508;8508;8508;8508;2;2;2;0;0
E-Deckel;MG_VTCIS_EDECK_NLXXX_SX_3.0;;8542;8541;8540;8506;8682;8683;1;1;1;1;1
Verschlußplatte coax;MG_VTCIS_VSPC_STD_SX_3.0;;8557;8557;8557;8557;;;0;0;0;2;2
Deckel coax;MG_VTCIS_DECKC_NLXXX_SX_3.0;;8561;8560;8559;8558;;;0;0;0;1;1
Glasscheibe;MG_MIDICIS_GLASSCHDLNLXXX_U1.0;;4609;4450;;5993;5917;5639;1;1;1;0;0
Glasscheibe;MG_VSCIS_FENS_NL780_U1.0;;;;7921;;;;1;1;1;0;0
Glasscheibe entspiegelt;MG_VSCIS_FENSC_NLXXX_ES_1.0;;7868;7867;7866;7851;;;0;0;0;1;1
Lichtleiter coax;MG_VTCIS_LILEIC_NLXXX_U_3.0;;8569;8568;8567;8566;;;0;0;0;1;1
Umlenkspiegel;MG_VSCIS_UMSPI_NLXXX_U_1.0;;7874;7873;7872;7853;;;0;0;0;1;1
Lüfter 51x51x15;ME_LÜ_RADIAL_51x51_24V;;5890;5890;5890;5890;5890;5890;1;1;1;1;1
UNC-Bolzen CL (Stück);MM_IA_UNC4-40_03,8_CL_VZ;;3153;3153;3153;3153;3153;3153;8;8;8;8;8
UNC-Bolzen SUB-D (Paar);MM_IA_UNC4-40_03,3_VZ;;3204;3204;3204;3204;3204;3204;4;4;4;4;4
Selfoc-Linse;O_TC48_09AG;;7427;7427;7427;7427;7427;7427;N+20;N+20;N+20;0;0
Selfoc-Linse;O_TC54;;2893;2893;2893;2893;;;0;0;0;N+20;N+20
Temperaturindikator;X_Tempindi_4x12;;3566;3566;3566;3566;3566;3566;1;1;1;1;1
Shockwatch;X_SHOCKWATCH_75G_Clip;;5799;;;;;;1;1;1;1;1
Shockwatch;X_SHOCKWATCH_50G_Clip;;;5798;5798;5798;5798;5798;1;1;1;1;1
Kupferrohrschutz;MG_VTCIS_KUROSCH_STD_PC_1.0;;8481;8481;8481;8481;8481;8481;2;2;2;2;2
Staubschutzkappe;X_15_STAUBSCHUTZKAP_SUBD_M;;8751;8751;8751;8751;8751;8751;1;1;1;1;1
Staubschutzkappe;X_25_STAUBSCHUTZKAP_SUBD_M;;8752;8752;8752;8752;8752;8752;1;1;1;1;1
Staubschutzkappe;X_25_STAUBSCHUTZKAP_SUBD_F;;8753;8753;8753;8753;8753;8753;1;1;1;1;1
Staubschutzkappe;X_26_STAUBSCHUKAP_CL;;5125;5125;5125;5125;5125;5125;1;1;1;1;1
