FERIX Schlüssel	Artikelnr	Code	Faktor	NL520	NL780	NL1040	NL1300	NL1560	NL1820	NL2080	NL2340	NL2600	NL2860	NL3120	NL3380	NL3640	NL3900	NL4160
				NL512	NL768	NL1024	NL1280	NL1536	NL1792	NL2048	NL2304	NL2560	NL2816	NL3072	NL3328	NL3584	NL3840	NL4096
FB_SENS_200_1.0	3998	200dpi	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_SENS_300_1.0	4007	300dpi	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_SENS_400_1.0	4011	400dpi	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_SENS_600_1.1	7282	600dpi	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_SENS2400_2.1	7295	2400dpi	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_MODU_ADC_1.5_STANDARD	6121	H	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_MODU_ADC_1.5_SLOW	6117	L	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
FB_MODUFPGA_1.3_RevA	9289		1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
FB_MODU_CPU_1.5	7086	NOEXT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FB_MODU_CPU_1.5_ENC	7089	EXT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FB_MX_POWER_1.3	6387		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FB_MODU_CAP_1.1	5402		1	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2	(L*S+2)/2
FB_PTOPAAM_1.4_SH	7931	AM	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_PTOPABLUE_1.3_SH	7474	BL	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_PTOPAGRE_1.3_SH	7470	GR	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_PTOPARGB_1.3_SH	7596	RGB	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_PTOPAWHI_1.3_SH	7478	WH	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_MLED24IR_1.1	6045	IR	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FB_MLED24UV_1.0	3759	UV	1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1	L*S+1
FBK_PLEO_IPORT_PT1000-CL	4963	GIGE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WKS_MXCIS_520_H	4356	H	L==0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WKS_MXCIS_520_H_LICHT	5837	H	L>0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WKS_MXCIS_520_H_AMC	-112	COAX&H	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WKS_MXCIS_520_H_LICHT_Z	6967	H	L>0	0	0	0	1	1	1	1	2	2	2	2	3	3	3	3
WKS_MXCIS_520_H_Z	6970	H	L==0	0	0	0	1	1	1	1	2	2	2	2	3	3	3	3
WKS_MXCIS_520_L	4355	L	L==0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WKS_MXCIS_520_L_LICHT	5836	L	L>0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
