FERIX Schlüssel;Artikelnr;Farbcode;Faktor;NL260;NL390;NL520;NL650;NL780;NL910;NL1040;NL1300;NL1560;NL1820;NL2080;NL2340;NL2600;NL2860;NL3120;NL3380;NL3640;NL3900;NL4160
FB_M_LED_ST_1.1;6823;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPAAM_1.3_L;7485;AM;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPAAM_1.4_SH;7931;AM;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_PTOPAGRE_1.3_L;7467;GR;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPAGRE_1.3_SH;7470;GR;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_PTOPABLU_1.3_L;7472;BL;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPABLU_1.3_SH;7474;BL;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_PTOPARGB_1.3_L;7593;RGB;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPARGB_1.3_SH;7596;RGB;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_PTOPAWHI_1.3_L;7476;WH;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPAWHI_1.3_SH;7478;WH;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_PTOPAYEL_1.3_L;7490;YE;1;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1
FB_PTOPAYEL_1.3_SH;7492;YE;1;0;2;1;3;2;4;3;5;5;6;7;8;9;10;11;12;13;14;15
FB_MLDIR850_1.1;7140;IR;1;2;2;3;3;4;4;5;6;7;8;9;10;11;12;13;14;15;16;17
WKS_MXLED_0260_0600;6101;;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WKS_MXLED_0650_1040;5989;;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
WKS_MXLED_1300_1560;5919;;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
WKS_MXLED_1820_2080;5640;;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
WKS_MXLED_2340_2600;8143;;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
WKS_MXLED_2860_3120;8144;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
WKS_MXLED_3380_3640;8145;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
WKS_MXLED_3900_4160;8147;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
