Benennung;FERIX-Bezeichnung;Code;NL260;NL520;NL780;ohne Licht;einfaches Licht;doppeltes Licht
U-Profil;MG_VTCIS_GEH_NLXXX_SX_2.0 ;;8238;8237;8236;1;1;1
LED-Halter diff;MG_VTCIS_LEDHA_NLXXX_SX_2.0;;8244;8243;8239;0;1;2
Kupferrohr;MG_LND_KURO_NLXXX_U_1.0;;7992;7991;7990;0;1;2
LiLei diff;MG_LND_LILEI_NLXXX_U_1.0;;7995;7994;7993;0;1;2
Halter LiLei;MG_VTCIS_HALILEI_NLXXX_SX_1.0;;7999;7998;7997;0;1;2
Linsenhalter;MG_VTCIS_LIHA_NLXXX_SX_1.0;;7977;7976;7975;1;1;1
Staubschutz;MG_VTCIS_STASCHU_NLXXX_SX_1.0;;7980;7979;7978;1;1;1
Sensorhalter;MG_VHCIS_SEHA_NLXXX_SX_2.0;;8284;8283;8282;1;1;1
Deckel Sensorkammer;MG_VTCIS_SEHADE_NLXXX_SX_2.0;;8247;8246;8245;1;1;1
Verschlussplatte Sensorkammer;MG_VTCIS_VSPSEKA_STD_SX_1.0;;7961;7961;7961;2;2;2
Verschlussplatte;MG_VTCIS_VSP_STD_SX_2.0;;8231;8231;8231;2;2;2
Deckel;MG_VTCIS_DECK_NLXXX_SX_2.0;;8250;8249;8248;1;1;1
Glasscheibe;MG_MIDICIS_GLASSCHDL_NLXXX_U_2;;4609;4450;;1;1;0
Glasscheibe;MG_VSCIS_FENS_NL780_U_1.0;;;;7921;0;0;1
Lüfter 51x51x15;ME_LÜ_RADIAL_51x51_24V;;5890;5890;5890;1;1;1
UNC-Bolzen CL (Stück);MM_IA_UNC4-40_03.8_CL_VZ;;3153;3153;3153;8;8;8
UNC-Bolzen SUB-D (Paar);MM_IA_UNC4-40_03.3_VZ;;3204;3204;3204;4;4;4
Selfoc-Linse;O_TC48_09AG;;7427;7427;7427;N+20;N+20;N+20
Temperaturindikator;X_Tempindi_4x12;;3566;3566;3566;1;1;1
Shockwatch;X_Shockwatch_75G_Clip;;5799;;;1;1;1
Shockwatch;X_Shockwatch_50G_Clip;;;5798;5798;1;1;1
