FERIX Schlüssel;Artikelnr;Farbcode;Faktor;NL260;NL520;NL780;NL1040;NL1300;NL1560
FB_SMARAGD_2.1_NEU;7210;;1;1;2;3;4;5;6
FB_VADCFPGA_1.0_RevA;8842;;1;1;2;3;4;5;6
FB_CPUCLINK_1.1_RevA;8838;;1;1;1;1;1;1;1
FB_PTOPAAM_1.4_L;7929;AM;L;1;1;1;1;1;1
FB_PTOPAAM_1.4_SH;7931;AM;L;0;1;2;3;4;5
FB_PTOPAGRE_1.3_L;7467;GR;L;1;1;1;1;1;1
FB_PTOPAGRE_1.3_SH;7470;GR;L;0;1;2;3;4;5
FB_PTOPABLU_1.3_L;7472;BL;L;1;1;1;1;1;1
FB_PTOPABLU_1.3_SH;7474;BL;L;0;1;2;3;4;5
FB_PTOPARGB_1.3_L;7593;RGB;L;1;1;1;1;1;1
FB_PTOPARGB_1.3_SH;7596;RGB;L;0;1;2;3;4;5
FB_PTOPAWHI_1.3_L;7476;WH;L;1;1;1;1;1;1
FB_PTOPAWHI_1.3_SH;7478;WH;L;0;1;2;3;4;5
FB_PTOPAYEL_1.4_L;7935;YE;L;1;1;1;1;1;1
FB_PTOPAYEL_1.4_SH;7933;YE;L;0;1;2;3;4;5
FB_MLDIR850_1.1;7140;IR;L;2;3;4;5;6;7
FB_MX_BUF_1.0;6145;;L;1;1;2;2;3;3
FB_DIGITHERM_1.0;7422;;1;2;2;2;2;2;2
WKS_VTCIS_0260;8707;;1;1;0;0;0;0;0
WKS_VTCIS_0520;8600;;1;0;1;0;0;0;0
WKS_VTCIS_0780;8708;;1;0;0;1;0;0;0
WKS_VTCIS_1040;8054;;1;0;0;0;1;0;0
WKS_VTCIS_1300;8796;;1;0;0;0;0;1;0
WKS_VTCIS_1560;8797;;1;0;0;0;0;0;1
WKS_VTCIS_260_1LED;8709;MONO;L==1;1;0;0;0;0;0
WKS_VTCIS_520_1LED;8714;MONO;L==1;0;1;0;0;0;0
WKS_VTCIS_780_1LED;8715;MONO;L==1;0;0;1;0;0;0
WKS_VTCIS_1040_1LED;8716;MONO;L==1;0;0;0;1;0;0
WKS_VTCIS_1300_1LED;8798;MONO;L==1;0;0;0;0;1;0
WKS_VTCIS_1560_1LED;8802;MONO;L==1;0;0;0;0;0;1
WKS_VTCIS_260_2LED;8735;MONO;L==2;1;0;0;0;0;0
WKS_VTCIS_520_2LED;8736;MONO;L==2;0;1;0;0;0;0
WKS_VTCIS_780_2LED;8737;MONO;L==2;0;0;1;0;0;0
WKS_VTCIS_1040_2LED;8738;MONO;L==2;0;0;0;1;0;0
WKS_VTCIS_1300_2LED;8799;MONO;L==2;0;0;0;0;1;0
WKS_VTCIS_1560_2LED;8803;MONO;L==2;0;0;0;0;0;1
WKS_VTCIS_0260_1RGB;8739;MONO;L==3;1;0;0;0;0;0
WKS_VTCIS_0520_1RGB;8740;MONO;L==3;0;1;0;0;0;0
WKS_VTCIS_0780_1RGB;8741;MONO;L==3;0;0;1;0;0;0
WKS_VTCIS_1040_1RGB;8742;MONO;L==3;0;0;0;1;0;0
WKS_VTCIS_1300_1RGB;8800;MONO;L==3;0;0;0;0;1;0
WKS_VTCIS_1560_1RGB;8804;MONO;L==3;0;0;0;0;0;1
WKS_VTCIS_0260_1RGB;8739;RGB;L==1;1;0;0;0;0;0
WKS_VTCIS_0520_1RGB;8740;RGB;L==1;0;1;0;0;0;0
WKS_VTCIS_0780_1RGB;8741;RGB;L==1;0;0;1;0;0;0
WKS_VTCIS_1040_1RGB;8742;RGB;L==1;0;0;0;1;0;0
WKS_VTCIS_1300_1RGB;8800;RGB;L==1;0;0;0;0;1;0
WKS_VTCIS_1560_1RGB;8804;RGB;L==1;0;0;0;0;0;1
WKS_VTCIS_0260_2RGB;8743;RGB;L==2;1;0;0;0;0;0
WKS_VTCIS_0520_2RGB;8744;RGB;L==2;0;1;0;0;0;0
WKS_VTCIS_0780_2RGB;8745;RGB;L==2;0;0;1;0;0;0
WKS_VTCIS_1040_2RGB;8746;RGB;L==2;0;0;0;1;0;0
WKS_VTCIS_1300_2RGB;8801;RGB;L==2;0;0;0;0;1;0
WKS_VTCIS_1560_2RGB;8805;RGB;L==2;0;0;0;0;0;1
WKS_VTCIS_0260_2RGB;8743;RGB;L==3;1;0;0;0;0;0
WKS_VTCIS_0520_2RGB;8744;RGB;L==3;0;1;0;0;0;0
WKS_VTCIS_0780_2RGB;8745;RGB;L==3;0;0;1;0;0;0
WKS_VTCIS_1040_2RGB;8746;RGB;L==3;0;0;0;1;0;0
WKS_VTCIS_1300_2RGB;8801;RGB;L==3;0;0;0;0;1;0
WKS_VTCIS_1560_2RGB;8805;RGB;L==3;0;0;0;0;0;1
